event_type,level,trigger,description,file,line,recommendation,comment,status
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:94,Starting A2A inbound credential initialization,src/muxi/services/a2a/auth/inbound.py,94,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:117,A2A inbound credential initialization completed,src/muxi/services/a2a/auth/inbound.py,117,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:158,Loaded A2A inbound credentials from environment,src/muxi/services/a2a/auth/inbound.py,158,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:180,Loaded A2A inbound credentials from file: {config_path},src/muxi/services/a2a/auth/inbound.py,180,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:235,Loaded A2A inbound credentials from individual environment variables,src/muxi/services/a2a/auth/inbound.py,235,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:268,Using default A2A inbound credential configurations,src/muxi/services/a2a/auth/inbound.py,268,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:327,Loaded inbound credential for {client_id},src/muxi/services/a2a/auth/inbound.py,327,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:363,A2A inbound credential loading completed,src/muxi/services/a2a/auth/inbound.py,363,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,INFO,src/muxi/services/a2a/auth/inbound.py:493,Added client credential for {client_id},src/muxi/services/a2a/auth/inbound.py,493,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:108,No SecretsManager provided - no credentials will be available,src/muxi/services/a2a/auth/inbound.py,108,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:277,No A2A inbound credential configurations found,src/muxi/services/a2a/auth/inbound.py,277,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:290,SecretsManager not available for credential loading,src/muxi/services/a2a/auth/inbound.py,290,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:342,No credentials found for {client_id},src/muxi/services/a2a/auth/inbound.py,342,OK - No issues identified,,
ConversationEvents.A2A_CREDENTIAL_LOADED,WARNING,src/muxi/services/a2a/auth/inbound.py:422,Secret {secret_name} not found for Basic auth {key},src/muxi/services/a2a/auth/inbound.py,422,OK - No issues identified,,
ConversationEvents.A2A_DISCOVERY_COMPLETED,DEBUG,src/muxi/services/a2a/discovery.py:901,A2A registry saved successfully,src/muxi/services/a2a/discovery.py,901,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.A2A_DISCOVERY_COMPLETED,INFO,src/muxi/services/a2a/discovery.py:136,A2A Discovery Service startup completed,src/muxi/services/a2a/discovery.py,136,OK - No issues identified,,
ConversationEvents.A2A_DISCOVERY_INITIALIZED,INFO,src/muxi/services/a2a/discovery.py:71,A2A Discovery Service initialized,src/muxi/services/a2a/discovery.py,71,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/formation/agents/agent.py:3795,Failed to handle information sharing: {str(e)},src/muxi/formation/agents/agent.py,3795,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/formation/agents/agent.py:4042,Failed to process {message_type}: {str(e)},src/muxi/formation/agents/agent.py,4042,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/services/a2a/client.py:227,Error sending A2A message: {e},src/muxi/services/a2a/client.py,227,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/services/a2a/client.py:236,NO DESCRIPTION,src/muxi/services/a2a/client.py,236,MISSING DESCRIPTION - Add meaningful description,,
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/services/a2a/client.py:282,Error handling A2A message: {e},src/muxi/services/a2a/client.py,282,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_FAILED,ERROR,src/muxi/services/a2a/server.py:519,SDK A2A message handling failed: {str(e)},src/muxi/services/a2a/server.py,519,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_PROCESSED,INFO,src/muxi/formation/agents/agent.py:3781,Stored shared information from {source_agent_id},src/muxi/formation/agents/agent.py,3781,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_RECEIVED,INFO,src/muxi/formation/agents/agent.py:3223,A2A response received: execution={execution_completed},src/muxi/formation/agents/agent.py,3223,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_RECEIVED,INFO,src/muxi/formation/agents/agent.py:3928,Executing task from {source_agent_id}: {task_text[:50]}...,src/muxi/formation/agents/agent.py,3928,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_RECEIVED,INFO,src/muxi/formation/agents/agent.py:4026,Processed {message_type} from {source_agent_id},src/muxi/formation/agents/agent.py,4026,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_SENT,DEBUG,src/muxi/services/a2a/client.py:153,Routing internally to {target_agent_id},src/muxi/services/a2a/client.py,153,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.A2A_MESSAGE_SENT,DEBUG,src/muxi/services/a2a/client.py:169,External agent {target_agent_id} requested,src/muxi/services/a2a/client.py,169,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.A2A_MESSAGE_SENT,INFO,src/muxi/formation/agents/agent.py:3121,Agent {self.agent_id} requesting A2A assistance from {best_agent_id},src/muxi/formation/agents/agent.py,3121,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_SENT,INFO,src/muxi/formation/agents/agent.py:3155,A2A execution request: {self.agent_id} -> {best_agent_id},src/muxi/formation/agents/agent.py,3155,OK - No issues identified,,
ConversationEvents.A2A_MESSAGE_SENT,INFO,src/muxi/services/a2a/client.py:202,NO DESCRIPTION,src/muxi/services/a2a/client.py,202,MISSING DESCRIPTION - Add meaningful description,,
ConversationEvents.A2A_TASK_HANDOFF,INFO,src/muxi/formation/agents/agent.py:3860,Task handoff: {task} from {source_agent_id},src/muxi/formation/agents/agent.py,3860,OK - No issues identified,,
ConversationEvents.AGENT_A2A,DEBUG,src/muxi/formation/agents/agent.py:1600,NO DESCRIPTION,src/muxi/formation/agents/agent.py,1600,MISSING DESCRIPTION - Add meaningful description,,
ConversationEvents.AGENT_A2A,INFO,src/muxi/formation/agents/agent.py:2995,Agent {self.agent_id} bypassing A2A for workflow task,src/muxi/formation/agents/agent.py,2995,OK - No issues identified,,
ConversationEvents.AGENT_A2A,WARNING,src/muxi/formation/agents/agent.py:1625,Agent {self.agent_id} reached max A2A attempts limit,src/muxi/formation/agents/agent.py,1625,OK - No issues identified,,
ConversationEvents.AGENT_A2A_MESSAGE_RECEIVED,INFO,src/muxi/formation/agents/agent.py:3627,Agent {self.agent_id} received A2A message from {source_agent_id},src/muxi/formation/agents/agent.py,3627,OK - No issues identified,,
ConversationEvents.AGENT_MESSAGE_PROCESSING,INFO,src/muxi/formation/agents/agent.py:835,Agent {self.agent_id} processing message,src/muxi/formation/agents/agent.py,835,OK - No issues identified,,
ConversationEvents.AGENT_MESSAGE_PROCESSING,INFO,src/muxi/formation/agents/agent.py:883,NO DESCRIPTION,src/muxi/formation/agents/agent.py,883,MISSING DESCRIPTION - Add meaningful description,,
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:1086,"Starting execution of {len(execution_plan.get('my_steps', []))} my_steps",src/muxi/formation/agents/agent.py,1086,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:1097,"Processing step: {step.get('action', 'unknown')}",src/muxi/formation/agents/agent.py,1097,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:1154,Inferred parameters for {tool_name},src/muxi/formation/agents/agent.py,1154,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:1167,NO DESCRIPTION,src/muxi/formation/agents/agent.py,1167,MISSING DESCRIPTION - Add meaningful description,,
ConversationEvents.AGENT_PLANNING,DEBUG,src/muxi/formation/agents/agent.py:4397,LLM inferred parameters for {tool_name},src/muxi/formation/agents/agent.py,4397,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.AGENT_PLANNING,ERROR,src/muxi/formation/agents/agent.py:4423,Failed to parse LLM parameter inference as JSON,src/muxi/formation/agents/agent.py,4423,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,ERROR,src/muxi/formation/agents/agent.py:4435,Exception in LLM parameter inference,src/muxi/formation/agents/agent.py,4435,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:1032,Agent {self.agent_id} bypassing planning phase: {reason},src/muxi/formation/agents/agent.py,1032,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:1064,Execution plan ready for {self.agent_id},src/muxi/formation/agents/agent.py,1064,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:1474,Planning-based execution completed,src/muxi/formation/agents/agent.py,1474,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:3321,Agent {self.agent_id} starting planning with {len(tool_names)} tools,src/muxi/formation/agents/agent.py,3321,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:3464,Raw planning response from LLM,src/muxi/formation/agents/agent.py,3464,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,INFO,src/muxi/formation/agents/agent.py:3520,Agent {self.agent_id} created execution plan,src/muxi/formation/agents/agent.py,3520,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,WARNING,src/muxi/formation/agents/agent.py:4230,Parameter '{param_name}' not in tool schema for {tool_name},src/muxi/formation/agents/agent.py,4230,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING,WARNING,src/muxi/formation/agents/agent.py:4410,LLM inference missing required params: {missing},src/muxi/formation/agents/agent.py,4410,OK - No issues identified,,
ConversationEvents.AGENT_PLANNING_STARTED,INFO,src/muxi/formation/workflow/decomposer.py:1159,ApprovalManager.present_plan_for_approval called,src/muxi/formation/workflow/decomposer.py,1159,OK - No issues identified,,
ConversationEvents.AGENT_PROCESSING_ERROR,WARNING,src/muxi/formation/agents/agent.py:902,Knowledge search failed for agent {self.agent_id}: {str(e)},src/muxi/formation/agents/agent.py,902,OK - No issues identified,,
ConversationEvents.AGENT_PROCESSING_ERROR,WARNING,src/muxi/formation/agents/agent.py:2469,Error checking clarification needs: {str(e)},src/muxi/formation/agents/agent.py,2469,OK - No issues identified,,
ConversationEvents.AGENT_RESPONSE_GENERATED,DEBUG,src/muxi/formation/agents/agent.py:1850,generate_file result: {str(result)[:200]},src/muxi/formation/agents/agent.py,1850,"REVIEW - DEBUG ConversationEvent, may be too granular for production",,
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:1350,Agent {self.agent_id} provided direct response for simple request,src/muxi/formation/agents/agent.py,1350,OK - No issues identified,,
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:1447,Agent {self.agent_id} extracted {len(artifacts)} artifacts from planning execution,src/muxi/formation/agents/agent.py,1447,OK - No issues identified,,
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:1718,Agent {self.agent_id} generated response,src/muxi/formation/agents/agent.py,1718,OK - No issues identified,,
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:2111,Agent {self.agent_id} extracted {len(artifacts)} artifacts from tool results,src/muxi/formation/agents/agent.py,2111,OK - No issues identified,,
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:2763,Agent {self.agent_id} using artifact service for file generation,src/muxi/formation/agents/agent.py,2763,OK - No issues identified,,
ConversationEvents.AGENT_RESPONSE_GENERATED,INFO,src/muxi/formation/agents/agent.py:2799,Agent {self.agent_id} successfully generated file using artifact service,src/muxi/formation/agents/agent.py,2799,OK - No issues identified,,
ConversationEvents.AGENT_TOOL_CHAIN_COMPLETED,INFO,src/muxi/formation/agents/agent.py:2134,Tool chain completed after {iteration} iterations and {total_tool_calls} tool calls,src/muxi/formation/agents/agent.py,2134,REVIEW - Consider DEBUG level for granular processing steps,,
ConversationEvents.AGENT_TOOL_CHAIN_ITERATION_COMPLETED,INFO,src/muxi/formation/agents/agent.py:2080,Tool chain iteration {iteration + 1} completed,src/muxi/formation/agents/agent.py,2080,REVIEW - Consider DEBUG level for granular processing steps,,
ConversationEvents.AGENT_TOOL_CHAIN_ITERATION_STARTED,INFO,src/muxi/formation/agents/agent.py:1778,Tool chain iteration {iteration + 1} started with {len(tool_calls)} tool calls,src/muxi/formation/agents/agent.py,1778,REVIEW - Consider DEBUG level for granular processing steps,,
ConversationEvents.ASYNC_PROCESSING_COMPLETED,INFO,src/muxi/formation/overlord/overlord.py:5122,Request {request_id}: Completed async processing in {processing_time:.2f}s,src/muxi/formation/overlord/overlord.py,5122,OK - No issues identified,,
ConversationEvents.ASYNC_PROCESSING_FAILED,WARNING,src/muxi/formation/overlord/overlord.py:7963,"Post-approval time estimation failed, using sync execution",src/muxi/formation/overlord/overlord.py,7963,OK - No issues identified,,
ConversationEvents.ASYNC_PROCESSING_FAILED,WARNING,src/muxi/formation/overlord/overlord.py:8226,Webhook notification failed after all retries,src/muxi/formation/overlord/overlord.py,8226,OK - No issues identified,,
ConversationEvents.ASYNC_PROCESSING_STARTED,INFO,src/muxi/formation/overlord/chat_orchestrator.py:521,Creating async task for request {request_id},src/muxi/formation/overlord/chat_orchestrator.py,521,OK - No issues identified,,
ConversationEvents.ASYNC_PROCESSING_STARTED,INFO,src/muxi/formation/overlord/overlord.py:4982,Starting async processing for request {request_id},src/muxi/formation/overlord/overlord.py,4982,OK - No issues identified,,
ConversationEvents.ASYNC_THRESHOLD_DETECTED,INFO,src/muxi/formation/overlord/overlord.py:7623,NO DESCRIPTION,src/muxi/formation/overlord/overlord.py,7623,MISSING DESCRIPTION - Add meaningful description,,
