event_type,level,trigger,description,file,line,recommendation,comment,status
ErrorEvents.AGENT_CREATION_FAILED,ERROR,src/muxi/formation/overlord/overlord.py:3218,Failed to add agent '{agent_id}' to overlord: {str(e)},src/muxi/formation/overlord/overlord.py,3218,OK - No issues identified,,
ErrorEvents.CIRCUIT_BREAKER_FALLBACK_FAILED,ERROR,src/muxi/formation/resilience/circuit_breaker.py:158,Circuit breaker '{self.name}' fallback execution failed: {str(e)},src/muxi/formation/resilience/circuit_breaker.py,158,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,DEBUG,src/muxi/formation/overlord/overlord.py:562,Could not extract text model for extraction: {str(e)},src/muxi/formation/overlord/overlord.py,562,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,ERROR,src/muxi/formation/formation.py:400,Failed to initialize SecretsManager: {str(e)},src/muxi/formation/formation.py,400,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,ERROR,src/muxi/formation/overlord/overlord.py:1178,NO DESCRIPTION,src/muxi/formation/overlord/overlord.py,1178,MISSING DESCRIPTION - Add meaningful description,,
ErrorEvents.CONFIGURATION_ERROR,ERROR,src/muxi/formation/overlord/overlord.py:3263,Task decomposer has unexpected structure: {str(e)},src/muxi/formation/overlord/overlord.py,3263,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,ERROR,src/muxi/formation/overlord/overlord.py:3303,Workflow executor has unexpected structure: {str(e)},src/muxi/formation/overlord/overlord.py,3303,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,ERROR,src/muxi/services/a2a/registry_client.py:443,Registry {registry_url} is unreachable (strict mode),src/muxi/services/a2a/registry_client.py,443,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,ERROR,src/muxi/services/a2a/registry_client.py:502,Registry {registry_url} still unreachable after {retry_timeout_seconds}s,src/muxi/services/a2a/registry_client.py,502,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,ERROR,src/muxi/utils/run_formation.py:200,Failed to load formation configuration: {e},src/muxi/utils/run_formation.py,200,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,WARNING,src/muxi/formation/formation.py:741,Failed to load agent file {agent_file}: {e},src/muxi/formation/formation.py,741,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,WARNING,src/muxi/formation/formation.py:789,Failed to load A2A file {a2a_file}: {e},src/muxi/formation/formation.py,789,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,WARNING,src/muxi/formation/overlord/overlord.py:452,Expected text model in formation config but not found,src/muxi/formation/overlord/overlord.py,452,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,WARNING,src/muxi/formation/overlord/overlord.py:460,Error extracting text model from config: {str(e)},src/muxi/formation/overlord/overlord.py,460,OK - No issues identified,,
ErrorEvents.CONFIGURATION_ERROR,WARNING,src/muxi/services/a2a/auth/inbound.py:166,Failed to parse A2A_INBOUND_CREDENTIALS: {str(e)},src/muxi/services/a2a/auth/inbound.py,166,OK - No issues identified,,
